Source,Target,Type,Id,Label,Weight
80,南京,undirected,0,hasActor,1
80,无牌共享单车,undirected,1,hasObject,1
南京,无牌共享单车,undirected,2,清理,1
80,监管,undirected,3,hasObject,1
南京,监管,undirected,4,加大,1
南京,共享单车投放数量,undirected,5,加大,1
322,共享单车交通违法,undirected,6,hasObject,1
322,信用记录,undirected,7,hasObject,1
共享单车交通违法,信用记录,undirected,8,记入,1
464,南京,undirected,9,hasActor,1
464,共享单车,undirected,10,hasObject,1
南京,共享单车,undirected,11,规范,1
1144,南京,undirected,12,hasActor,1
1144,无牌共享单车,undirected,13,hasObject,1
南京,无牌共享单车,undirected,14,清拖,1
1483,发改委,undirected,15,hasActor,1
1483,共享单车退潮,undirected,16,hasObject,1
发改委,共享单车退潮,undirected,17,谈,1
南京,共享单车投放,undirected,18,暂停,1
南京,共享电单车,undirected,19,封杀,1
1996,党报,undirected,20,hasActor,1
1996,共享单车信用新规,undirected,21,hasObject,1
党报,共享单车信用新规,undirected,22,谈,1
1996,信用经济,undirected,23,hasObject,1
党报,信用经济,undirected,24,呵护,1
2111,发改委,undirected,25,hasActor,1
2111,共享单车等分享经济信用体系建设,undirected,26,hasObject,1
发改委,共享单车等分享经济信用体系建设,undirected,27,推进,1
2192,南京,undirected,28,hasActor,1
2192,共享单车黑名单,undirected,29,hasObject,1
南京,共享单车黑名单,undirected,30,release,1
2192,市民征信系统,undirected,31,hasObject,1
南京,市民征信系统,undirected,32,纳入,1
2196,优拜单车,undirected,33,hasActor,1
2196,区块链信用及交易体系,undirected,34,hasObject,1
2231,南京,undirected,35,hasActor,1
2231,共享单车实名制,undirected,36,hasObject,1
南京,共享单车实名制,undirected,37,release,1
2455,南京,undirected,38,hasActor,1
2455,共享单车实名制,undirected,39,hasObject,1
南京,共享单车实名制,undirected,40,release,1
2455,信用记录,undirected,41,hasObject,1
南京,信用记录,undirected,42,纳入,1
294,南京,undirected,43,hasRecipient,1
294,电动单车,undirected,44,hasObject,1
294,共享单车“管理规范”,undirected,45,hasObject,1
南京,共享单车“管理规范”,undirected,46,locate,1
电动单车,共享单车“管理规范”,undirected,47,写入,1
318,南京,undirected,48,hasRecipient,1
318,电动单车,undirected,49,hasObject,1
318,共享单车范围,undirected,50,hasObject,1
电动单车,南京,undirected,51,locate,1
南京,共享单车范围,undirected,52,UNKNOWN,1
电动单车,共享单车范围,undirected,53,纳入,1
598,町町,undirected,54,hasRecipient,1
598,南京,undirected,55,hasActor,1
598,酷骑单车,undirected,56,hasRecipient,1
南京,町町,undirected,57,整顿,1
南京,酷骑单车,undirected,58,整顿,1
1670,南京,undirected,59,hasActor,1
1670,摩拜单车,undirected,60,hasRecipient,1
2177,南京,undirected,61,hasActor,1
2177,共享电单车,undirected,62,hasObject,1
南京,共享电单车,undirected,63,遇阻,1
1883,南京,undirected,64,hasActor,1
1883,共享单车,undirected,65,hasObject,1
1883,无牌单车,undirected,66,hasObject,1
南京,共享单车,undirected,67,上牌,1
南京,无牌单车,undirected,68,清拖,1
1761,南京,undirected,69,hasActor,1
1761,电动单车,undirected,70,hasObject,1
1761,共享单车“管理规范”,undirected,71,hasObject,1
南京,共享单车“管理规范”,undirected,72,co-occurrence,1
信用,信用记录,undirected,73,inclusion,1
信用,信用解锁,undirected,74,inclusion,1
信用,信用经济,undirected,75,inclusion,1
信用,信用问题,undirected,76,inclusion,1
信用,信用免押金,undirected,77,inclusion,1
信用,信用分评级体系,undirected,78,inclusion,1
信用,信用免押金城市,undirected,79,inclusion,1
信用,信用规范共享单车,undirected,80,inclusion,1
信用,共享单车信用新规,undirected,81,inclusion,1
信用,信用信息共享机制,undirected,82,inclusion,1
信用,用户信用等级收费,undirected,83,inclusion,1
信用,区块链信用及交易体系,undirected,84,inclusion,1
信用,共享单车等分享经济信用体系建设,undirected,85,inclusion,1
